label,title
1,1 204 2935 4 2936 155 324 27
1,425 375 4 28 42 2045 702 913 325
1,267 237 1066 2046 914 784 125 27 2 89 31
1,2937 2938 178 1290 1291
1,2939 451 915 256 4 28 46
0,111 27 2 1292 916 51 2940 267 97 486 102 2 89 31
0,917 76 75 13 12 179 487
0,1 59 46 2941 2 2942 2 2943 1293
0,1 530 326 627 115 179 2 219 2047 1565 292 351 327
0,4 28 135 204 785 2 1294 2 786 325 194
1,1 46 179 77 918 1295 7 105 352 18 2 4 2 21 12
1,488 376 11 628 79 629 60 1566 3 1067 5 531 136 2 581 328 2048 2 582 126 2 532 787 2 788 703 704 2944 2 2945 2946 2 108 3 64 195 15 72 630 279 73
1,22 1567 1568 20 280 1068 2947 2049 108 1568 2948 3
1,1 2949 10 1069 705 83 426 84 90 308 2 112 42 2050 1569
1,489 1296 2051 630 1 8 10 706 2052 19
1,789 396 452 2053 707 55 309 19 2 919 3
1,453 454 13 186 268 3 1570 1 19 1297 64 310 920 105 352 427 1571 61 2950 204 790 15
1,1 163 533 11 19 1 98
1,47 2 9 1070 204 67
1,115 2951 144 24 921 62 24 2952 2953
1,1 59 428 534 238 24 1298 429 535 67
1,4 211 57 2 6
1,1071 583 22 1 584 20 922
1,353 2954 179 13
1,1 1572 2054 923 2055 430 137 2 2955 2956 791 792
0,1573 43 168 47 2 137 43 293 397 2957
0,1 205 2958 398 490 2056 2959 1072
0,55 212 52 924 44 257 14 9 22 2057 20 631
0,1 9 47 145 2960 2961
0,123 62 179 13 12 1073 294 281 6
0,89 7 63 455 127 793 8 456 115 2962 1 8 457 32 11
0,1574 67 2058 1074 16 4 211 130 585 2963 25 23 3
0,11 19 1575
0,225 7 10 13 12 456 1 102 2 491 794 1576
0,2964 354 2965 60 355 2 2966 54
1,795 2967 1 19 1075 1076 2968 53 2059 1577 7 2060
1,258 925 63 36 8 2969 257 14 586 10 11 19 926
1,9 70 1299 7 196 13 156 13 12 259 112 70 2061 351
1,2970 8 1578 1077 1 2971 2062 57 269
1,536 537 7 10 11 19 7 356 927 2 311 1078 2 282 237
1,399 111 456 75 186 708 38 329 400 1579
1,1 1300 206 131 115 377 225
1,13 1580 164
1,1 378 108 709 710 2 2063 10 148 538
1,1 2972 108 195 2973 1074 53 2 9 539 1301 357 1079 431 270 928 2974 2064 2975 921 2065 3
0,711 540 2066 2 2066 3 1 1080 1302 3 197 312 1081 61 9 113 26 90 929 2976 2977 1080 42 930 3
0,632 432 239 18 6
0,115 179 396 113 458
0,1 796 712 2067 198 55 492
0,115 179 1581 458
1,1 1082 1582 240 226 11 61
1,5 35 2068 2069 283
1,2978 67 3 541 3
1,1303 1 295 459
1,72 42 73 241 308 40 5 35 15
0,5 35 2979 41 213 2980 296 199 22 2070 20 124 3
0,36 157 11 19 106 931 3
0,5 35 2 797 32 180 358 38 3
0,433 42 5 35 460 181
0,109 7 5 35 24 294 434 271 2981 2982 294 1583 68 401
1,180 2 461 7 1 90 798 3 1 8 1083 798 330 146 2071 295 58 2 258 542 2072 798 182 633
1,91 634 1 19 153 187 1304 1 59
1,1 2062 932 635 106 35
1,110 153 270 165 2983 6
1,5 35 2984 1084 6
0,36 207 543 65 1584 5 42 18 7 400 297 2073 1305 3
0,26 1585 108 2074 426 32 11 5 799 65 5 35 67
0,800 933 227 2985 284 5 35 2 70 200 26 2986 2987 636 15
0,8 1 74 155 11 108 311 5 35
0,2988 2075 1586 31 4 81 637 544 37 2 1 462 2076 174
0,1 587 1306 2989 13 12 638 19 83
0,2990 1307 1 158 2991 67
0,399 111 2 75 1308 399 128 2992 220 2993 280 6
0,5 35 2 1085 639 2 711 2 435 2 1086 2 308 2 106 6
0,545 1087 116 74 1587 1588 1 59
1,436 64 31 462 2994 36 6
1,75 53 313 26 801 802 99 1 2995 437 96
1,1 46 1589 2996 2077 638 19
1,5 2078 1584 117 138 42 6
1,493 137 2997 166 226 62 5 2078 64 713 242 166 3
0,2998 2079 11 1 98 402 2999 434 640 2080
0,188 1 379 913 139 325 3000 3001 1088 6 260 702 1309 6
0,70 26 803 2081 494 804 2082 6 189 3002 62 124 3
0,1 26 3003 1310 5 35 60 208
