title,sentiment
299 5 17 11 4244 0 11 9 3993 714 2593 879 209 30 2 947 0 1343 850 1150 1150 1706 2594 1312 8581 287 2,0
3739 703 1 772 1 324 680 2595 1409 2948 1 87 0 3086 620 1 2245 7396 5834 8582 187 6493 1 634 2 310 5 417 4524 1255 2,0
1080 4245 161 350 72 390 169 5313 2596 8583 240,0
680 1373 0 0 1519 0 78 19 21 5835 78 20 37 2712 4525 4246 4526,0
1623 322 38 102 194 5836,0
8584 3537 391 6494 8585 131 4898 1081 0 65 209 84 762 355 2028 7397 3538 851 71 395 704 1 1054 1481 1256 3539 2713 2,0
8586 567 1034 39 2246 901 2168 2,0
29 1199 3227 184 1200 120 172 40 705 49 2 337 1482 1624 0 902 40 3 1954 2,0
706 194 22 1744 3740 2490 255 2597 1 835 3540 6495 7398,0
195 1520 3741 74 258 5 1 1344 920 2247 8587 2,0
36 987 1 1313 104 721 194 1593 2169,0
2248 2814 33 74 3994 1521,0
432 6 312 230 370 2397 3541 271 820 5 2319,0
2170 4899 164 21 0 2491 868 1374,0
2492 140 3542 2029 516 57 33 1228 209 0 948 2 1229 6 356 224 3742 424 2398 74 2,0
1410 788 4247 949 869 178 234 2493 950,0
1375 721 74 271 156 1483 852 5837,0
166 120 4527 221 773 671,0
0 1707 3543 3743 4900 2171 55 8 584 23 1783 1230 177 0 1 3744 1 880 8588 7399 5314 201 5315 4248 2 68 2093 1 231 2494 1707 2,0
8589 194 301 1055 853 1625,0
39 5 272 355 204 1 16 345 881 512 27 377 311 3 6496 3544 2,0
854 10 1 177 855 30 8590 6497 509,0
12 0 351 13 352 154 271 21 1082 889 6 8591 27 84 184,0
1006 234 6498 1 166 7400 948 3382 2030 84 585 6499 234 2 4901 38 102 628 166 7400 948 1314 5316 2,0
26 972 44 2815 18 570 5838 171 2,0
2816 3383 3545 231 120 2495 469 3228 1201 23 1017 346 55 8 4528 196 1 584 1 345 695 513 3383 3545 3995 231 1 170 3228 2094 2598 2495 469 1151 4529 1201,0
1202 2249 1816 4530 58,0
189 143 407 61 707 240 241 125 154 526 0 1376 2817 240 200 1708 129 25 1 350 99 78 1035 2,0
2095 854 2599 803 380 98 5 2031 4902,0
751 852 4903 0 5839 973 26 1231,0
1551 1007 332 3745 0 1955 255 6500 1257 1103 2,0
527 715 1 1008 0 16 209 2171 1956 599 2 1956 571 1006 2250 681 6501 2,0
5317 1172 1709 3384 2496 8592 2096,0
374 2399 2320 152 6502 2818 3 418 2032 432 1122 2,0
0 25 9 342 0 32 9 25 9 1623 1522 3 3746,0
708 1552 301 6503 1 1957 1203 2321 6504 2600 6505 381,0
1626 322 6506 102 194 6507 4249 870 9,0
432 215 89 6508 204 124 222 283 921,0
7401 3747 397 2714 177 480 1411 2,0
377 6 1 126 209 266 5840 332,0
419 3 803 380 176 0 1103 38 76 313,0
0 357 4904 4531 0 6509 0 171 74 90 774 32 974 774,0
303 733 21 6510 78 358 1204 173 27 304 1958 3546 2715 343,0
69 41 2949 93 57 134 54 3748,0
195 5841 3229 562 5318 1 1412 1377,0
0 0 1709 305 301 1173 646 871,0
0 0 382 46 0 2251 470 8593 9 571,0
6511 8594 1 0 17 99 31 6512 0 1036 1 734 576 672,0
6513 128 804 5319 44 28 145 304 1523 366,0
1959 751 8595 440 55 3 0 3537 440 332 3996 2322 7 0 805 8595 146 168 1594 26 600 1 421 547 2323 1595 242,0
1960 1009 3547 591 5320 949 3548 1 528 53 1123 1664 1624 0 8,0
5321 1665 0 1 1596 1202 2033 1232 14 601 2 592 1 162 49 521 59 1596 1 5321 164 1524 8596 1232 0 2,0
1080 4245 1442 3 21 0 125 7 3749 36 0 1443 836 9,0
359 0 3549 216 513 231 1912 1315 178 78 4905 26 584 5,0
6 1413 1414 288 0 2172 514 0 60,0
752 1525 296 342 38 102 0 140 42,0
53 2716 1345 2399 8 7 621 4250 4 69 1961 252 6 763 433 903 753 3550 5322 170 3551 8597 227 1526 396 25,0
8598 101 806 936 1313 26 360,0
7402 2715 1597 37 4532 3230 54 903 2173,0
3750 1373 420 21 174 591 48 1258,0
959 3 821 682 228 1037 38 2715 255 243 7403,0
7404 7405 798 106 1860 1 434 1415 3552 141,0
181 15 223 145 3087 33 1346 28 1 33 375 3087,0
2819 328 3751 6503 8599 1666 822 113,0
138 562 1205 5322 252 6 1962 378,0
344 454 82 300 2400 5323 4533 53 2252 673 472 872 8,0
1710 287 342 38 97 118 5842 8600 3751,0
8601 8602 0 280 9 362 1347 57 922 26 2601 1083 2950 2497 1 504 3553,0
126 55 1010 803 380 2 3,0
960 1667 289 535 5 2034 26 0 440 177 480,0
15 1011 353 104 66 425 142 435,0
263 217 288 74 1316 6514 152 371 882,0
4 890 109 60 234 988 1 434 116 67 593 696,0
5324 1343 7 1527 38 1 97 3231 131 1257 1103 1444,0
555 1963 400 95 1627 1378 314 134 1628 1056,0
44 8 937 764 1317 241 1964 3088,0
12 259 479 466 1288 244 3997 91 13 7 2401 6 3551 171 673 0 541 264 1 1318 32 513 231 304 1861 451,0
26 663 161 529 221 1598 1206,0
276 303 1152 3554 172 4251 326 8603 66,0
296 194 6515 106 721 2602 987,0
4906 5843 105 94 10 0 869 4252 1 0 248 1 4906 128 2 577 1174 90 1913 1376 54 2,0
803 380 8604 380 1103 38 49 97 300,0
529 3 0 0 1520 0 19 823 8605 20 367 285 3998 426 1668 68 325 2324 0 1 1527 1954 2402 2 38 536 4534 602 891 5 2,0
1207 86 883 0 584 201 5 1 104 0 751 513 143 407 61 141 824,0
1289 8606 683 4907 9 1018 190 1288 47 1 22 41,0
1019 252 15 288 1 1965 134 873 3999 5325,0
775 4244 12 879 11 13 1599 4908 2498 1553 30 4000 1057 2 7406 0 1484 4250 1150 8607 2498 1784 30 1 1058 362 4001 7407 2,0
12 168 1 38 1312 1348 1 8608 673 872 2 1348 197 4002 2174 2 13 202 2325 38 1312 0 0 1520 12 673 872 13 1914,0
4535 776 1379 0 169 3089 473 31 4253 2951 1 267,0
0 2097 9 622 3232 169 684 586 328 301,0
0 75 874 167 0 1153 10 2952 0,0
0 446 642 7408 1 0 1 8609 2499 5844 1 77 328 6516 301 1173,0
6517 1416 1202 157 1745,0
44 2403 0 284 9 4908 252 4 743 484 28 594 1259,0
4 48 3752 141 0 4254,0
5326 5327 1 1260 0 46 3385 2326 1 234 2035 383 130 5,0
85 30 44 343 15 357 2820 12 8610 0 13,0
0 32 587 0 1528 3753 949 4255,0
0 1529 6518 1231 2814 1 663 36 6 2036 853 1625,0
10 384 33 74 4536 3555 1711 5323 245 1346 377 1233 1530 5328 27 1261,0
4537 0 1445 392 2327 7409 1707,0
4 290 642 47 48 15 8 31 188 265 95,0
37 1966 7 371 86 8 5845 37 249 15 904 1417,0
1817 41 1258 6519 168 201 5 137 377 359 1 126,0
2095 2600 5329 3754 37 388 10 1669 571,0
2717 870 0 246 0 18 9 4256 418 3090,0
591 0 722 462 26 315 594 4257 3755 372 85 30 46 4909 2493 1446 0 2,0
1862 3 329 837 9 7 26 2037 1380 3233 0 408 2718 0,0
104 5330 987 587 703 673 3234,0
86 2494 0 78 231 201 5 1 2399 1152 584,0
4003 923 2404 8 1151 4258 1020 7410 1 2404 0 219 7410 1 474 8611 0 1 0 2404 1521 293 156 923 594 380 2,0
0 892 296 189 0 4259 463,0
5846 189 293 301 1208 0,0
0 64 751 8612 373 762 2098 3756 2 38 49 3235 0 268 48 5331 36 7411 302 960,0
509 359 1785 1600 3 134 838 4004 0 8613 498 129 0 5332 211 2,0
635 44 417 6520 4910 1012 556 1257,0
130 310 1021 2175 1 116 442 987 234 2328 2,0
6521 3757 8614 164 21 174 78 672 975 856 62 1 0 4911,0
0 19 0 79 337 20 4538 265 0 1914,0
542 3758 949 1 636 4539 681 2253 475,0
1818 2603 2821 6 127 1209 6 2953 685 1601,0
7412 3 4535 12 1712 30 1 13 510 7413 472 2254 1349 5847 46 1 46 0 3386 0 2822 38 5,0
337 1786 1104 21 174 975 46 91 2255 1708 3091 220,0
1350 46 2329 452 382 1554 509 7414 30 5,0
51 144 656 288 0,0
1915 513 36 78 231 1105 0 171 6522 0 2,0
0 11 1319 5333 1022 234 1262 1819 2 0 3556 3236 8 902 0 0 179 94 162 25 7415 1381 389 27 8 2256 2,0
6 1263 3759 102 1382 5 7 135 3237 857 1233 7416 2954 3238 4540 0 822 1820 42 1 160 0 513 220 198 6523 1315 1 132 4253 6524 0 1 0 4260 1531 3239 0 13,0
2604 26 315 7417 1485 8 436 2719 0 266 1819 8 2719 314 0 266 5848 337 1 4912 2719 314 55,0
4541 322 1320 799 0 54 3557,0
4005 4261 21 8615 591 184 1204 3240 434,0
7418 1232 307 592 4525 4246 66 1124 440 634,0
2176 125 54 647 429 4262 2605,0
1670 51 4 8 311 1713 16 333 64,0
177 855 2955 73 169 145 901 2 8616 3092 169,0
36 4 8617 0 453 3241 824 1967,0
7419 5849 48 825 1084 3093 5334 4542 133 2,0
680 1373 4263 938 78 4264 37 2712 4525 4246 4526 7 5850 198 0 6525 0 207 170 485 891 78 4264 839 0 0 0 0 4263 156 78 4264 2,0
38 49 300 1 1351 1418 1 1351 44 1418 1351 419 276 6,0
1863 4006 54 2245 0 8 5851,0
1038 1 1551 3 2330 2099 673 472 0 9,0
26 315 118 1525 360 6526 1555 1968 26 498 23 0,0
304 2500 455 1 22 81 511 44 182 578 2956,0
563 41 97 454 5335 1321 150 1125,0
51 370 4 333 99 1713 311 22,0
5336 0 1629 1447 571 0 312 33 82 6527 2 1383 332 777 209 2,0
752 102 154 2257 285 568,0
951 8 1916 303 288 2177 1532 2606,0
46 425 98 3093 224 15 1210 2501 4543 3387 939 491 15 1039 1206,0
321 5 17 1290 890 109 6528 1 377 0 603 83 109 76,0
3558 303 125 21 6510 78 358 1204 0,0
826 30 2607 199 4913 4007 145 0 753 54,0
775 1917 0 2957 52 1322 142,0
858 0 7 370 1122 65 6529 55 3 6530 5852,0
2958 1260 1 987 64 9 7 778 130 1602 3242 4265 2100 1059 177 648,0
0 6513 128 72 1060 5319 44 145 304 1523 123,0
177 800 186 859 194 1061 53 4914 8,0
517 1352 11 373 255 211 234 0 2502,0
5337 140 0 1 0 1 4008 2598 0,0
6531 1 194 709 118 2101 2823 1323 6532 0 2258 169 1 4915 1787 0 169,0
2095 875 5329 2608 1260 388 4532 3230 10,0
8618 456 104 187 2609 1671 8600 924,0
710 1672 6533 377 173 284 0,0
180 1667 5853 395 735 48 1375 3 1013 3559,0
11 8 0 1126 5854 7413 0 0 1154 230 5338 3 543 2331,0
686 1291 571 1746 2250 1234 940 84 0 2332 6534 7420 8 4266,0
3760 4 6535 778 4916 2333 836 2824 178 7421 74 72 1175 150,0
1593 84 2610 2720 5,0
4009 1155 629 143 407 61 38 488 0 0 705 287 2035,0
111 5855 112,0
723 6536 389 15 144 1347 26 273,0
26 315 7422 1037 2611 171 4010 2334 0,0
392 3 572 7 20,0
222 451 26 47 2612 1202 122 884,0
2038 952 48 327 1127 709 4011 2825 242 3388 2,0
